DlangUI log file
0x0042404A in WinMain at C:\Users\elodin\gdrive\Dev\D\OMDBSearch\..\..\..\..\AppData\Roaming\dub\packages\dlangui-0.9.46\dlangui\src\dlangui\platforms\common\platform.d(1576)
0x005BCB8E in WinMainCRTStartup
0x74AB62C4 in BaseThreadInitThunk
0x77440FD9 in RtlSubscribeWnfStateChangeNotification
0x77440FA4 in RtlSubscribeWnfStateChangeNotification
2016-12-20 02:44:20.734 E  Non-zero Widget instance count when exiting: 22
2016-12-20 02:44:20.734 I  Destroying DrawableCache
2016-12-20 02:44:20.734 E  Drawable instace count after destroying of DrawableCache: 9
2016-12-20 02:44:20.734 I  Destroying ImageCache
2016-12-20 02:44:20.734 I  Destroying Win32FontManager
2016-12-20 02:44:20.734 D  Destroying font manager
2016-12-20 02:44:20.734 E  Non-zero DrawBuf instance count when exiting: 14
2016-12-20 02:44:20.734 E  Non-zero Style instance count when exiting: 10
2016-12-20 02:44:20.734 E  Non-zero ImageDrawable instance count when exiting: 9
2016-12-20 02:44:20.734 E  Non-zero Drawable instance count when exiting: 16
2016-12-20 02:44:20.734 D  Exiting main
2016-12-20 02:44:20.734 D  Calling GC.collect
2016-12-20 02:44:20.734 E  Non-zero DrawBuf instance count when exiting: 14
